code,spp
0,ANPA
1,EPFU
2,MYEV
3,MYTH
4,MYCI
5,LANO
6,LACI
7,EUMA
8,MYCA
9,LABL
10,PAHE
11,LAXA
12,MYLU
13,MACA
14,NYMA
15,MYYU
16,COTO
17,TABR
18,EUPE
19,NYFE
20,MYVO
